03,January,2021
rank,name,perc1hour,price,volume
106,Balancer,-0.67%,$15.55,"$76,106,640.75"
107,Ravencoin,0.33%,$0.01403,"$16,630,771.73"
108,Curve DAO Token,4.09%,$0.6723,"$68,729,991.76"
109,Numeraire,0.75%,$23.82,"$10,796,654.36"
110,Chiliz,-0.04%,$0.01953,"$65,270,056.98"
111,RSK Infrastructure Framework,-0.55%,$0.1557,"$2,446,067.60"
112,Solana,4.24%,$2.16,"$55,073,422.18"
113,Matic Network,0.17%,$0.01998,"$17,908,525.56"
114,MonaCoin,3.31%,$1.47,"$15,739,521.31"
115,Bitcoin Diamond,1.42%,$0.5061,"$3,897,282.08"
116,Nervos Network,1.71%,$0.003922,"$4,678,617.33"
117,DxChain Token,-0.95%,$0.001801,"$160,258.45"
118,IOST,0.70%,$0.005716,"$37,439,362.14"
119,Arweave,-1.01%,$2.57,"$3,844,010.24"
120,Kin,-0.49%,$0.0000565,"$510,155.10"
121,Orchid,2.09%,$0.2312,"$11,985,900.00"
122,Bytom,1.74%,$0.06042,"$17,511,704.20"
123,Helium,0.20%,$1.31,"$1,182,058.92"
124,1inch,-2.84%,$1.09,"$78,903,253.71"
125,Unibright,-0.88%,$0.5306,"$1,932,620.93"
126,Ardor,3.65%,$0.07849,"$7,158,772.47"
127,PAX Gold,0.56%,"$1,961.23","$4,404,860.44"
128,Kleros,-0.28%,$0.1252,"$3,023,413.52"
129,BitShares,3.04%,$0.02442,"$37,268,134.17"
130,Golem,-1.28%,$0.1073,"$1,740,325.08"
131,Divi,-0.65%,$0.03322,"$287,644.56"
132,Syntropy,1.63%,$0.2166,"$1,613,661.79"
133,Storj,1.30%,$0.3121,"$22,300,070.52"
134,Injective Protocol,-0.27%,$4.42,"$26,169,663.30"
135,Kava.io,-1.42%,$1.37,"$19,921,663.50"
136,Swipe,1.81%,$0.769,"$72,381,622.83"
137,Utrust,-1.55%,$0.1465,"$5,693,437.74"
138,Steem,2.01%,$0.1658,"$4,827,645.87"
139,Velas,-0.26%,$0.03078,"$1,176,873.79"
140,iExec RLC,1.35%,$0.7884,"$3,705,829.21"
141,TrustSwap,0.11%,$0.905,"$1,921,924.70"
142,TomoChain,1.07%,$0.8174,"$20,649,888.25"
143,DFI.Money,0.12%,"$1,605.18","$103,141,005.96"
144,Oasis Network,-5.20%,$0.04121,"$5,652,872.59"
145,Civic,1.66%,$0.088,"$20,418,673.61"
146,Komodo,0.61%,$0.4803,"$2,116,875.86"
147,Serum,2.91%,$1.19,"$42,508,554.40"
148,aelf,0.77%,$0.1064,"$16,503,073.40"
149,Keep3rV1,1.79%,$292.05,"$21,288,361.79"
150,Ankr,1.85%,$0.008822,"$11,166,282.44"
151,KuCoin Shares,0.35%,$0.7081,"$7,630,157.98"
152,OriginTrail,3.64%,$0.1609,"$822,710.42"
153,JUST,0.80%,$0.02413,"$64,565,544.67"
154,FunFair,-2.57%,$0.00833,"$31,489,594.06"
155,LBRY Credits,1.69%,$0.108,"$64,648,086.11"
156,Polymath,4.55%,$0.09742,"$2,303,612.62"
157,Uquid Coin,-9.69%,$5.23,"$7,323,400.33"
158,WAX,0.53%,$0.03551,"$740,768.97"
159,Wanchain,-0.70%,$0.3052,"$2,474,619.83"
160,Alpha Finance Lab,-0.45%,$0.2868,"$44,645,302.29"
161,Electroneum,0.08%,$0.00475,"$718,916.69"
162,Hive,0.49%,$0.1168,"$1,884,994.86"
163,SingularityNET,0.10%,$0.05639,"$936,664.59"
164,Fantom,0.92%,$0.01882,"$11,764,052.20"
165,Energi,-1.53%,$1.29,"$2,639,826.58"
166,Ark,1.07%,$0.3736,"$1,595,872.43"
167,Haven Protocol,3.67%,$3.15,"$500,764.49"
168,Melon,0.19%,$30.37,"$5,403,506.69"
169,Stratis,0.79%,$0.4509,"$1,951,156.90"
170,Everipedia,2.57%,$0.004646,"$3,335,168.26"
171,ReddCoin,-1.69%,$0.001338,"$327,333.77"
172,Pundi X,-0.30%,$0.0001879,"$3,469,444.85"
173,The Midas Touch Gold,-1.77%,$0.005247,"$3,314,857.96"
174,Nexalt,-0.82%,$2.15,"$684,811.26"
175,Fetch.ai,0.86%,$0.05685,"$5,555,529.59"
176,Power Ledger,0.35%,$0.09617,"$1,131,828.65"
177,Harmony,-1.08%,$0.004897,"$10,681,546.21"
178,ShareToken,-1.24%,$0.01961,"$2,096,176.25"
179,Syscoin,0.03%,$0.0658,"$1,595,708.01"
180,MCO,4.88%,$2.48,"$12,181,706.81"
181,AdEx Network,-2.44%,$0.3497,"$5,710,610.13"
182,STASIS EURO,-0.02%,$1.22,"$1,644,998.38"
183,IoTeX,3.10%,$0.006778,"$4,386,726.93"
184,Handshake,0.06%,$0.1094,"$1,524,704.13"
185,IRISnet,3.48%,$0.0398,"$2,826,773.24"
186,LTO Network,-0.82%,$0.1366,"$3,348,213.41"
187,DIA,-0.21%,$1.31,"$15,699,358.92"
188,GateToken,-0.14%,$0.5022,"$36,782,149.71"
189,Populous,-2.16%,$0.6605,"$6,855,430.33"
190,xDai,3.76%,$9.87,"$2,945,716.10"
191,QuarkChain,0.34%,$0.005771,"$19,644,131.02"
192,Travala.com,-0.26%,$0.7602,"$3,148,527.09"
193,Nimiq,-2.19%,$0.004778,"$2,651,108.36"
194,SOLVE,-0.18%,$0.09009,"$235,573.10"
195,Firo,0.23%,$2.89,"$3,404,326.46"
196,Voyager Token,-0.77%,$0.1469,"$1,017,674.80"
197,Tellor,6.57%,$19.81,"$34,193,857.85"
198,Aion,0.12%,$0.06654,"$1,890,976.84"
199,Ultra,1.99%,$0.1129,"$822,910.88"
200,Super Zero Protocol,0.29%,$0.1015,"$3,842,721.57"
10,January,2021
1,Bitcoin,-0.55%,"$38,356.44","$79,980,747,690.35"
2,Ethereum,-0.96%,"$1,262.25","$40,616,938,052.61"
3,Tether,-0.03%,$1.00,"$135,437,984,723.47"
4,XRP,1.04%,$0.3183,"$9,647,740,012.28"
5,Litecoin,0.26%,$171.11,"$12,774,461,582.48"
6,Bitcoin Cash,1.21%,$603.60,"$18,670,984,543.78"
7,Cardano,-0.03%,$0.3049,"$3,732,911,205.62"
8,Polkadot,0.84%,$9.31,"$1,603,968,712.26"
9,Chainlink,-0.67%,$16.25,"$3,058,197,027.37"
10,Stellar,-0.22%,$0.2887,"$1,949,483,668.04"
11,Binance Coin,-0.01%,$42.45,"$701,488,831.55"
12,USD Coin,0.00%,$1.00,"$1,917,152,177.85"
13,Bitcoin SV,2.10%,$253.71,"$4,205,155,207.08"
14,Wrapped Bitcoin,-0.54%,"$38,332.34","$219,986,622.12"
15,Monero,4.87%,$185.14,"$2,265,991,619.06"
16,EOS,-0.16%,$3.09,"$9,057,323,705.29"
17,TRON,0.41%,$0.03293,"$2,238,339,640.03"
18,NEM,1.04%,$0.2356,"$132,414,925.12"
19,Tezos,3.95%,$2.77,"$600,574,981.83"
20,THETA,1.15%,$1.99,"$120,114,659.04"
21,Neo,0.22%,$24.98,"$1,929,903,780.97"
22,Crypto.com Coin,0.68%,$0.07785,"$100,076,336.05"
23,VeChain,0.70%,$0.02719,"$432,735,973.33"
24,Uniswap,-0.40%,$5.99,"$2,348,003,198.19"
25,Synthetix,0.01%,$14.16,"$322,307,964.08"
26,Aave,-0.89%,$126.20,"$512,402,602.86"
27,Maker,-2.19%,"$1,514.96","$702,693,481.33"
28,Dash,3.11%,$148.38,"$3,555,132,591.55"
29,Dai,-0.01%,$0.9997,"$461,427,625.86"
30,UNUS SED LEO,0.37%,$1.34,"$18,441,343.63"
31,Cosmos,1.79%,$6.43,"$779,660,148.15"
32,Celsius,-1.86%,$5.45,"$24,895,081.57"
33,Dogecoin,-0.90%,$0.00986,"$458,583,518.71"
34,IOTA,4.51%,$0.4276,"$89,703,670.27"
35,Binance USD,-0.01%,$0.9999,"$2,741,621,462.17"
36,Huobi Token,-1.02%,$5.56,"$466,671,699.21"
37,Filecoin,1.78%,$23.50,"$452,076,684.92"
38,Zcash,2.80%,$96.51,"$2,384,497,932.13"
39,Ethereum Classic,0.32%,$8.89,"$3,946,510,253.82"
40,yearn.finance,-0.55%,"$34,058.21","$828,226,064.55"
41,Revain,0.17%,$0.01166,"$7,025,424.36"
42,Solana,0.99%,$3.47,"$62,766,977.36"
43,FTX Token,-0.50%,$9.31,"$31,012,393.14"
44,Compound,2.89%,$195.71,"$393,726,559.09"
45,Zilliqa,0.03%,$0.07372,"$158,259,934.82"
46,Decred,-0.96%,$55.66,"$19,264,915.49"
47,Waves,1.45%,$6.51,"$217,016,419.71"
48,Kusama,0.53%,$71.27,"$110,496,406.00"
49,Elrond,0.27%,$36.25,"$83,208,484.02"
50,SushiSwap,0.21%,$4.40,"$387,543,122.81"
51,Algorand,1.06%,$0.462,"$257,910,312.73"
52,Ontology,2.76%,$0.6558,"$361,304,995.11"
53,UMA,0.44%,$9.46,"$23,317,647.96"
54,OMG Network,0.49%,$3.61,"$546,000,952.29"
55,Avalanche,0.04%,$6.59,"$96,243,971.86"
56,renBTC,-0.50%,"$38,304.79","$36,974,210.70"
57,Nano,-0.75%,$3.21,"$81,165,262.56"
58,Loopring,-0.74%,$0.3538,"$99,900,562.04"
59,DigiByte,1.17%,$0.03017,"$28,042,652.97"
60,OKB,-1.40%,$7.00,"$242,109,403.23"
61,BitTorrent,9.23%,$0.0004285,"$100,947,628.84"
62,Terra,-0.01%,$0.8471,"$30,493,281.10"
63,The Graph,0.81%,$0.3277,"$174,923,165.80"
64,Reserve Rights,-2.22%,$0.04304,"$218,135,188.68"
65,0x,3.86%,$0.5293,"$226,751,769.09"
66,Basic Attention Token,0.05%,$0.258,"$295,451,974.81"
67,ICON,1.39%,$0.6376,"$72,243,935.75"
68,Ren,0.85%,$0.4124,"$123,462,478.26"
69,Nexo,-1.03%,$0.6235,"$9,882,320.63"
70,Blockstack,0.05%,$0.4758,"$7,309,696.05"
71,NEAR Protocol,1.01%,$1.74,"$49,923,203.58"
72,Qtum,2.42%,$3.43,"$1,019,281,708.18"
73,Hedera Hashgraph,3.83%,$0.04979,"$65,677,647.50"
74,HUSD,-0.10%,$1.00,"$154,600,070.43"
75,TrueUSD,0.00%,$1.00,"$141,290,248.03"
76,SwissBorg,-2.51%,$0.2921,"$3,586,666.33"
77,Celo,-1.55%,$2.14,"$7,856,508.36"
78,Paxos Standard,0.01%,$0.9999,"$201,063,396.65"
79,Bitcoin Gold,-3.24%,$14.30,"$252,497,467.95"
80,Siacoin,-1.34%,$0.004871,"$19,807,486.65"
81,Verge,-0.75%,$0.01441,"$14,543,905.43"
82,Horizen,1.66%,$21.74,"$88,918,644.00"
83,THORChain,-0.25%,$1.46,"$21,636,857.41"
84,Augur,1.56%,$20.57,"$35,068,433.77"
85,Kyber Network,0.81%,$1.14,"$82,980,797.39"
86,NXM,-0.97%,$37.89,"$26,722,540.73"
87,Energy Web Token,-1.89%,$6.84,"$1,491,342.92"
88,Quant,1.42%,$16.94,"$4,508,849.39"
89,Ampleforth,-0.92%,$0.9207,"$19,421,986.40"
90,Status,1.57%,$0.05884,"$63,461,416.62"
91,Bitcoin BEP2,-0.63%,"$37,629.36","$2,144,073.11"
92,Bitcoin Diamond,-3.08%,$1.02,"$47,000,064.29"
93,TerraUSD,-0.09%,$1.00,"$16,765,759.77"
94,Band Protocol,-1.50%,$9.16,"$210,240,113.78"
95,Ocean Protocol,0.30%,$0.4388,"$25,288,431.67"
96,Lisk,-0.22%,$1.42,"$15,694,590.90"
97,ABBC Coin,0.72%,$0.212,"$56,809,156.59"
98,Gnosis,-0.99%,$115.54,"$762,585.03"
99,HedgeTrade,2.38%,$0.5089,"$137,475.34"
100,Holo,0.31%,$0.000978,"$26,725,764.25"
101,Decentraland,-0.99%,$0.1061,"$55,973,170.27"
102,IOST,0.04%,$0.01017,"$307,299,936.50"
103,Bancor,-0.79%,$1.57,"$54,325,715.16"
104,Enjin Coin,0.50%,$0.1875,"$35,120,309.49"
105,Aragon,2.73%,$3.80,"$42,017,174.97"
106,MaidSafeCoin,-1.04%,$0.3301,"$908,248.01"
107,Matic Network,0.41%,$0.03041,"$52,646,300.20"
108,Arweave,2.43%,$4.09,"$9,954,076.64"
109,ZB Token,-1.11%,$0.2896,"$24,730,646.94"
110,Ravencoin,-1.38%,$0.01682,"$25,496,080.55"
111,Balancer,-0.71%,$19.25,"$133,889,594.29"
112,Pundi X,8.31%,$0.0005394,"$232,424,141.75"
113,Theta Fuel,0.22%,$0.02633,"$4,752,267.29"
114,Numeraire,-0.26%,$27.54,"$13,680,664.09"
115,CyberVein,-0.21%,$0.1158,"$6,671,953.55"
116,RSK Infrastructure Framework,0.14%,$0.177,"$5,026,601.86"
117,Curve DAO Token,0.26%,$0.7521,"$95,305,224.46"
118,MonaCoin,2.89%,$1.75,"$56,996,218.30"
119,Voyager Token,2.70%,$0.529,"$12,987,452.17"
120,Nervos Network,-0.13%,$0.004731,"$5,303,856.99"
121,Orchid,0.28%,$0.291,"$24,641,403.63"
122,Chiliz,0.77%,$0.0195,"$49,584,660.05"
123,Bytom,-0.17%,$0.06953,"$33,440,834.24"
124,Civic,-1.93%,$0.1425,"$77,943,187.45"
125,Kin,-1.93%,$0.00006154,"$706,527.05"
126,Helium,1.06%,$1.45,"$2,434,657.63"
127,KuCoin Shares,-2.06%,$1.18,"$11,459,133.96"
128,PAX Gold,-0.85%,"$1,873.08","$7,880,185.53"
129,iExec RLC,0.51%,$1.17,"$11,243,032.94"
130,Storj,0.49%,$0.4058,"$75,472,447.59"
131,Kleros,-0.16%,$0.1463,"$2,322,627.91"
132,Unibright,-2.66%,$0.5865,"$3,096,252.64"
133,TomoChain,1.26%,$1.16,"$17,158,571.57"
134,Golem,-0.56%,$0.1351,"$2,499,426.48"
135,1inch,0.34%,$1.21,"$89,053,578.55"
136,Kava.io,2.21%,$1.83,"$65,733,631.02"
137,BitShares,1.59%,$0.02844,"$28,082,432.84"
138,Swipe,-0.19%,$1.01,"$109,458,543.86"
139,Utrust,-1.04%,$0.189,"$5,361,920.48"
140,Ardor,0.32%,$0.08336,"$3,473,684.28"
141,Serum,-0.56%,$1.62,"$214,672,465.21"
142,Steem,2.24%,$0.2053,"$30,533,986.79"
143,aelf,-1.42%,$0.1456,"$43,642,521.08"
144,DxChain Token,-0.21%,$0.001507,"$265,859.50"
145,Komodo,1.75%,$0.6056,"$6,882,533.57"
146,Alpha Finance Lab,0.16%,$0.425,"$51,814,997.86"
147,DFI.Money,1.08%,"$1,881.13","$187,784,161.39"
148,FunFair,-0.19%,$0.01078,"$1,948,260.67"
149,district0x,-7.36%,$0.1187,"$39,322,127.87"
150,Electroneum,0.12%,$0.006625,"$1,590,673.12"
151,Oasis Network,-0.57%,$0.04475,"$7,129,105.79"
152,Aidos Kuneen,0.25%,$2.70,"$1,727,605.27"
153,Syntropy,-1.41%,$0.2056,"$1,427,825.69"
154,Injective Protocol,-0.19%,$4.42,"$13,366,040.71"
155,Velas,-0.92%,$0.03134,"$1,034,765.47"
156,Wanchain,0.53%,$0.3902,"$5,316,255.86"
157,SingularityNET,0.04%,$0.07475,"$729,063.72"
158,Fantom,-0.04%,$0.0253,"$15,398,676.46"
159,Divi,0.00%,$0.03009,"$316,803.87"
160,Ankr,0.90%,$0.009461,"$15,190,530.58"
161,Keep3rV1,1.00%,$303.48,"$16,373,388.07"
162,WAX,-1.19%,$0.04006,"$689,639.39"
163,LTO Network,-0.24%,$0.2194,"$12,086,427.75"
